Label,Year,Indigenous protected land area (ha),National parks (ha),Nature reserves (ha),All other protected land areas (ha),Total protected land area (ha),Indigenous protected land area (%),National parks (%),Nature reserves (%),All other protected land areas (%),Total protected land area (%)
Kalgoorlie-Boulder,2023,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Karratha,2016,0,"9,826","10,599",28,"20,453",0.0,0.6,0.7,0.0,1.3
Karratha,2017,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Karratha,2018,0,"9,826","10,599",28,"20,453",0.0,0.6,0.7,0.0,1.3
Karratha,2019,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Karratha,2020,0,"10,045","10,599",28,"20,673",0.0,0.7,0.7,0.0,1.4
Karratha,2021,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Karratha,2022,0,"10,045","10,599",28,"20,673",0.0,0.7,0.7,0.0,1.4
Karratha,2023,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Katanning,2016,0,0,"4,908",59,"4,967",0.0,0.0,3.2,0.0,3.3
Katanning,2017,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Katanning,2018,0,0,"5,218",59,"5,277",0.0,0.0,3.4,0.0,3.5
Katanning,2019,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Katanning,2020,0,0,"5,218",59,"5,277",0.0,0.0,3.4,0.0,3.5
Katanning,2021,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Katanning,2022,0,0,"5,218",59,"5,277",0.0,0.0,3.4,0.0,3.5
Katanning,2023,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Kellerberrin,2016,0,0,"3,016",271,"3,287",0.0,0.0,1.6,0.1,1.7
Kellerberrin,2017,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Kellerberrin,2018,0,0,"3,016",271,"3,287",0.0,0.0,1.6,0.1,1.7
Kellerberrin,2019,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Kellerberrin,2020,0,0,"3,016",271,"3,287",0.0,0.0,1.6,0.1,1.7
Kellerberrin,2021,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Kellerberrin,2022,0,0,"3,016",271,"3,287",0.0,0.0,1.6,0.1,1.7
Kellerberrin,2023,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Kent,2016,0,"1,302","114,041",910,"116,253",0.0,0.2,20.3,0.2,20.7
Kent,2017,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Kent,2018,0,"1,302","114,041",910,"116,253",0.0,0.2,20.3,0.2,20.7
Kent,2019,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Kent,2020,0,"1,302","114,041","1,172","116,514",0.0,0.2,20.3,0.2,20.7
Kent,2021,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Kent,2022,0,"1,302","114,621","1,172","117,095",0.0,0.2,20.4,0.2,20.8
Kent,2023,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Kojonup,2016,0,0,"2,050",685,"2,735",0.0,0.0,0.7,0.2,0.9
Kojonup,2017,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Kojonup,2018,0,0,"2,050",685,"2,735",0.0,0.0,0.7,0.2,0.9
Kojonup,2019,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Kojonup,2020,0,0,"2,050",685,"2,735",0.0,0.0,0.7,0.2,0.9
Kojonup,2021,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Kojonup,2022,0,0,"2,050",685,"2,735",0.0,0.0,0.7,0.2,0.9
Kojonup,2023,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Kondinin,2016,0,0,"29,019",457,"29,477",0.0,0.0,3.9,0.1,4.0
Kondinin,2017,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Kondinin,2018,0,0,"29,019",457,"29,477",0.0,0.0,3.9,0.1,4.0
Kondinin,2019,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
